period,comparison_status,n_rows,max_abs_diff_gw,mean_abs_diff_gw
201612,different,20,8.62,1.023
201612,match,79,0.01,0.0011392405063290992
201612,missing_scraped,3,,
201703,missing_reference,99,,
201706,different,2,1.85,1.85
201706,match,97,0.0,0.0
201706,missing_reference,3,,
201706,missing_scraped,3,,
201712,different,22,9.47,0.8704545454545456
201712,match,80,0.009999999999999995,0.001624999999999973
201806,different,2,9.74,9.735
201806,match,100,0.01,0.0001
201809,different,2,9.74,9.735
201809,match,100,0.01,0.0001
201812,different,10,9.92,1.9913000000000003
201812,match,92,0.01,0.0016847826086955147
201903,different,2,0.39,0.39
201903,match,97,0.0,0.0
201903,missing_reference,37,,
201903,missing_scraped,3,,
201906,match,58,0.0,0.0
201906,missing_reference,2,,
201906,missing_scraped,44,,
201909,match,87,0.0,0.0
201909,missing_reference,3,,
201909,missing_scraped,15,,
201912,different,10,10.8,2.168
201912,match,92,0.009999999999999787,0.0004347826086956429
201912,missing_scraped,1,,
202003,different,3,10.81,7.206666666666667
202003,match,96,0.0,0.0
202003,missing_reference,3,,
202003,missing_scraped,4,,
202006,different,3,10.81,7.206666666666667
202006,match,99,0.0,0.0
202006,missing_scraped,1,,
202012,different,3,12.61,8.406666666666666
202012,match,76,0.0,0.0
202012,missing_reference,22,,
202012,missing_scraped,2,,
202103,different,3,12.610000000000001,8.406666666666668
202103,match,99,0.0,0.0
202103,missing_scraped,1,,
202106,different,3,12.725000000000001,8.483333333333334
202106,match,99,3.552713678800501e-15,1.5419764230904951e-16
202106,missing_scraped,1,,
202109,different,3,12.725000000000001,8.483333333333334
202109,match,99,5.684341886080802e-14,7.926109263872212e-16
202109,missing_scraped,1,,
202112,different,33,48.256,3.741751515151515
202112,match,101,3.552713678800501e-15,1.1545357629223858e-16
202112,missing_reference,2,,
202203,different,3,13.494000000000002,8.996
202203,match,99,5.684341886080802e-14,1.2120285134678359e-15
202203,missing_scraped,32,,
202206,different,3,13.724,9.149333333333333
202206,match,96,3.552713678800501e-15,1.3950067952646825e-16
202206,missing_scraped,35,,
202209,different,3,14.041,9.360666666666667
202209,match,96,5.684341886080802e-14,1.116005436211746e-15
202209,missing_scraped,35,,
202212,different,3,15.73,10.486666666666666
202212,match,99,7.105427357601002e-15,3.045052986416662e-16
202212,missing_scraped,33,,
202303,different,3,16.834,11.222666666666667
202303,match,99,7.105427357601002e-15,4.805709702236354e-16
202303,missing_scraped,33,,
202306,different,4,19.012999999999998,9.511
202306,match,132,5.684341886080802e-14,9.902905515814873e-16
202309,different,4,24.556,12.2865
202309,match,130,1.4210854715202004e-14,3.5284275501368257e-16
202309,missing_reference,2,,
202312,different,4,30.02,15.01925
202312,match,130,1.4210854715202004e-14,5.2639516677179295e-16
202312,missing_reference,2,,
202403,different,4,34.231,17.12475
202403,match,130,3.552713678800501e-15,4.0728638410587775e-16
202403,missing_reference,2,,
202406,different,5,41.486999999999995,16.609599999999997
202406,match,129,7.105427357601002e-15,4.908326114197943e-16
202406,missing_reference,2,,
202409,different,4,44.397,22.208
202409,match,128,7.105427357601002e-15,4.066842348993127e-16
202409,missing_reference,1,,
202412,different,4,56.748000000000005,28.38325
202412,match,129,7.105427357601002e-15,5.058668815449265e-16
202503,different,5,59.931999999999995,23.993399999999998
202503,match,127,0.008000000000000007,7.086614173291109e-05
202503,missing_scraped,4,,
202506,different,4,76.335,38.186749999999996
202506,match,128,7.105427357601002e-15,6.575144075038342e-16
202506,missing_scraped,4,,
202509,different,4,79.96,39.9995
202509,match,128,7.105427357601002e-15,5.759824041329242e-16
202509,missing_scraped,4,,
202512,different,4,90.90100000000001,45.47075
202512,match,128,1.4210854715202004e-14,9.636388909051163e-16
202512,missing_scraped,4,,
